x, y, z
-4147915.119580525, 2866495.407191306, -3893915.1217257916
-4147914.8928343193, 2866495.25049404, -3893913.4725131663
-4147914.3872060017, 2866495.9949579826, -3893914.9130892428
-4147914.3748880317, 2866495.9864454125, -3893913.466530757
-4147913.623438632, 2866496.558788327, -3893914.6737928423
-4147913.413823631, 2866496.413929795, -3893915.9135511676
-4147913.4328666828, 2866496.4270898667, -3893917.3664661245
-4147912.860847499, 2866496.0317848604, -3893918.260773298
-4147912.3786470653, 2866495.6985508515, -3893919.242913931
-4147908.677176816, 2866495.3261104105, -3893923.8882784485
-4147910.894822225, 2866496.858658664, -3893920.241539273
-4147909.6248523924, 2866492.7038419484, -3893924.7702460736
-4147906.753558606, 2866495.088401011, -3893926.374353135
-4147906.753463624, 2866499.4571615225, -3893923.048935442
-4147909.42062112, 2866499.117063382, -3893920.296876629
-4147910.429750736, 2866497.6289081415, -3893920.284537894
-4147911.9427119093, 2866497.5828238074, -3893918.35910923
-4147912.4543284946, 2866496.842498414, -3893918.35910923
-4147910.9693288715, 2866498.0017945557, -3893919.359571033
-4147912.59749143, 2866496.941433989, -3893917.05949357
-4147912.760435306, 2866497.0540395738, -3893915.7785730106
-4147912.5080053634, 2866497.9734811652, -3893917.4584457204
-4147912.086612925, 2866497.682269485, -3893915.6252737194
-4147911.341150149, 2866498.2587491907, -3893918.2731120265
-4147910.47181605, 2866498.74962495, -3893919.371909765
-4147908.806003573, 2866499.7839659564, -3893920.1985406517
-4147909.2739736536, 2866500.107366542, -3893919.2058977354
-4147909.934087974, 2866499.4719053362, -3893919.3472323013
-4147907.9054024583, 2866500.2532334304, -3893921.2648420148
-4147910.448729257, 2866499.8275589035, -3893918.395751517
-4147910.9734018217, 2866499.0962561024, -3893918.4080902454
-4147911.951940245, 2866498.6808480746, -3893917.415447129
-4147910.965597136, 2866497.9992156643, -3893915.048344922
-4147912.5348639684, 2866496.8981540445, -3893914.127524029
-4147912.023247373, 2866497.6384794516, -3893914.127524029
-4147913.591339428, 2866496.5366055463, -3893913.2085393844
-4147913.1132124555, 2866497.2978331917, -3893913.239199229
-4147912.6112188837, 2866499.136455949, -3893912.2959109372
-4147911.5451201918, 2866498.3997068256, -3893914.1581838797
-4147910.6687187417, 2866498.8856986007, -3893916.685218872
-4147910.455028738, 2866498.7380237333, -3893915.048344922
-4147909.3407690558, 2866500.1535269115, -3893917.831161184
-4147909.393334032, 2866500.1898530466, -3893916.445922362
-4147909.962059357, 2866499.4912355426, -3893916.500885779
-4147908.776460453, 2866500.8551966413, -3893919.218236467
-4147909.3496538596, 2866501.2513141744, -3893918.3220930425
-4147908.2932101097, 2866501.6151249777, -3893916.372263905
-4147908.345379162, 2866501.6511775283, -3893914.986651304
-4147909.400006394, 2866500.1944641224, -3893915.0173111623
-4147910.0015684916, 2866499.5185391516, -3893915.103308326
-4147911.0039594877, 2866500.211262308, -3893913.1778795402
-4147912.022712381, 2866499.8214037227, -3893912.2222525477
-4147909.997725472, 2866502.793067134, -3893912.2405736702
-4147911.562921985, 2866500.597544973, -3893912.2712335074
-4147907.3407297255, 2866502.0485400767, -3893915.9546167147
-4147907.852332432, 2866503.493741953, -3893914.0478831953
-4147907.8609212628, 2866502.4080298105, -3893915.011328751
-4147908.2667563017, 2866501.596843502, -3893917.7821801677
-4147907.626027181, 2866502.2457011202, -3893917.6591667775
-4147908.2044414897, 2866500.459890733, -3893920.112543409
-4147908.277898721, 2866501.604543712, -3893919.2305751992
-4147907.468634094, 2866502.1369311865, -3893918.948279968
-4147906.626928304, 2866502.6468993183, -3893918.6353248567
-4147906.836886205, 2866502.791995371, -3893915.960973028
-4147906.8559291433, 2866502.805155415, -3893917.413887799
-4147906.8073416506, 2866503.8632255914, -3893914.980668893
-4147908.4243502906, 2866503.88904755, -3893913.1535760053
-4147910.887888465, 2866502.3143440164, -3893911.1604708983
-4147906.689894772, 2866503.782061297, -3893916.3045878606
-4147906.0220587505, 2866504.41442754, -3893917.5918646185
-4147905.9470848413, 2866503.268725864, -3893919.9102629386
-4147907.2471375023, 2866501.9838611246, -3893920.1738631823
-4147906.41215738, 2866502.4984771195, -3893919.867264318
-4147907.822984321, 2866501.2901652902, -3893920.235556856
-4147906.928713, 2866501.7638069107, -3893921.3078406462
-4147906.190660629, 2866502.345406889, -3893921.0928474907
-4147907.4195007747, 2866501.011329271, -3893921.2891455893
-4147904.8373372727, 2866503.595698926, -3893920.7798922365
-4147905.653980334, 2866503.066169432, -3893921.0681700157
-4147905.4093559836, 2866503.9910054137, -3893919.885585469
-4147904.8208487807, 2866504.6759518306, -3893919.811926962
-4147905.080786803, 2866502.6700512096, -3893921.964313086
-4147903.928835493, 2866504.0595056075, -3893921.841673484
-4147904.248830151, 2866504.2806452485, -3893920.7062337124
-4147905.617467024, 2866501.9492887664, -3893921.9889905667
-4147906.355519292, 2866501.367688868, -3893922.2039837716
-4147905.3310876875, 2866501.75137999, -3893923.1532539083
-4147905.2245361935, 2866500.5860982724, -3893924.0049356837
-4147904.8402997702, 2866502.5038572615, -3893923.1719489736
-4147903.543218524, 2866504.8846637504, -3893920.52190045
-4147903.021508072, 2866504.5241236505, -3893922.901618325
-4147903.863609473, 2866504.014429672, -3893923.214947624
-4147904.115237056, 2866505.2799704154, -3893919.6275937418
-4147903.538736802, 2866505.975455981, -3893919.566273969
-4147902.1689907885, 2866506.120508651, -3893921.62705418
-4147902.806736426, 2866504.3757007266, -3893924.133557765
-4147902.288788532, 2866505.1116499277, -3893924.1275753425
-4147901.8695561667, 2866505.913577257, -3893922.778978695
-4147902.204533649, 2866502.867887306, -3893925.9546667915
-4147904.2131600026, 2866500.978811329, -3893924.966544352
-4147903.839180506, 2866499.628717938, -3893926.5171835558
-4147900.847651035, 2866504.115718078, -3893926.587103159
-4147901.674578874, 2866503.5932970084, -3893925.9363456145
-4147901.710043822, 2866504.711694829, -3893925.0155254463
-4147901.5313503155, 2866505.6798520866, -3893923.8942608703
-4147901.3589863596, 2866506.6523837065, -3893922.778978695
-4147901.5804832648, 2866506.805454452, -3893921.553395639
-4147903.7926742267, 2866506.150945391, -3893918.371350773
-4147901.137884848, 2866506.499586208, -3893924.0049356837
-4147900.847368023, 2866507.392707119, -3893922.778978695
-4147900.857835344, 2866506.306051286, -3893925.175181379
-4147901.2476243232, 2866504.392128994, -3893926.01636055
-4147900.430052843, 2866504.9187743617, -3893926.674970041
-4147899.8770721355, 2866506.722160634, -3893926.169660193
-4147900.4696512977, 2866507.1316768234, -3893925.2918386417
-4147900.5053846906, 2866508.2480193814, -3893924.37322856
-4147912.4269735524, 2866500.1007767105, -3893911.1664533047
